"municipality","party","year","support"
100,4,1979,0.54431468961
100,4,1983,0.51271466314
100,4,1987,0.46077268273
100,4,1991,0.46189435152
100,4,1995,0.49599725526
100,4,1999,0.53806525472
100,4,2003,0.55732177264
100,4,2007,0.54249341528
100,4,2011,0.51858956792
101,4,1971,0.44666569386
101,4,1975,0.37669783633
101,4,1979,0.38846505951
101,4,1983,0.30749159738
101,4,1987,0.3111000688
101,4,1991,0.33774540614
101,4,1995,0.32961700421
101,4,1999,0.38452813067
101,4,2003,0.40122934227
101,4,2007,0.39965080492
101,4,2011,0.37439676347
102,4,1971,0.50077563108
102,4,1975,0.39677266255
102,4,1979,0.500766636
102,4,1983,0.42419252692
102,4,1987,0.45768880801
102,4,1991,0.45418524022
102,4,1995,0.51753393665
102,4,1999,0.51992012931
102,4,2003,0.51500454683
102,4,2007,0.54803640654
102,4,2011,0.51909971306
111,4,1971,0.37923813323
111,4,1975,0.33542064671
111,4,1979,0.33557533795
111,4,1983,0.28947825081
111,4,1987,0.24964920208
111,4,1991,0.26300316599
111,4,1995,0.32519373493
111,4,1999,0.43716007977
111,4,2003,0.41555400873
111,4,2007,0.46219928203
111,4,2011,0.39684911997
112,4,1971,0.2307629914
112,1,1975,0.21019871344
112,3,1979,0.25060024801
112,3,1983,0.21043469967
112,4,1987,0.20035315905
112,4,1991,0.22225947033
112,4,1995,0.26482944043
112,4,1999,0.38294782699
112,4,2003,0.38285417552
112,4,2007,0.37699011446
112,4,2011,0.34516734058
113,3,1971,0.16672758603
113,1,1975,0.21070240657
113,1,1979,0.25583206839
113,1,1983,0.18562312312
113,4,1987,0.18508506917
113,4,1991,0.19096710007
113,4,1995,0.25320946243
113,4,1999,0.37470032902
113,4,2003,0.38901475721
113,4,2007,0.41268598277
113,4,2011,0.37834332291
114,4,1971,0.35493727887
114,4,1975,0.31568285409
114,4,1979,0.33238915544
114,4,1983,0.30674677544
114,4,1987,0.33298440857
114,4,1991,0.31447711202
114,4,1995,0.36066204773
114,4,1999,0.45521516029
114,4,2003,0.50521345662
114,4,2007,0.52605160541
114,4,2011,0.51886978858
115,4,1971,0.24390109689
115,1,1975,0.23380913059
115,1,1979,0.25732039085
115,1,1983,0.22596905719
115,4,1987,0.21139969294
115,4,1991,0.23607065157
115,4,1995,0.29378265283
115,4,1999,0.38003177398
115,4,2003,0.38489500406
115,4,2007,0.40280104184
115,4,2011,0.37823946658
116,4,1971,0.28931898345
116,4,1975,0.31176585748
116,4,1979,0.35079105292
116,4,1983,0.31139876185
116,4,1987,0.30263927332
116,4,1991,0.28947893791
116,4,1995,0.3613812544
116,4,1999,0.43370033509
116,4,2003,0.40228840653
116,4,2007,0.43490875566
116,4,2011,0.38135082165
117,4,1971,0.23134287135
117,3,1975,0.21163170798
117,4,1979,0.23614457831
117,3,1983,0.2178923186
117,4,1987,0.24582051625
117,4,1991,0.24897915091
117,4,1995,0.31901921803
117,4,1999,0.41229389974
117,4,2003,0.43007050002
117,4,2007,0.44676524794
117,4,2011,0.41719534537
118,1,1971,0.21425036715
118,1,1975,0.23269967988
118,1,1979,0.2407115869
118,2,1983,0.19464315918
118,1,1987,0.17606241291
118,16,1991,0.169299979145
118,4,1995,0.223026017
118,4,1999,0.31223748554
118,4,2003,0.35105909796
118,4,2007,0.36055991254
118,4,2011,0.2998506892
119,4,1971,0.27755800278
119,4,1975,0.26231656184
